Year,China,India,Europe,USA,Rest of World
2022,363011.2889,41916,255917.8501,147531.836,102013.8234
2023,438363.8382,44722,272534.8705,153622.586,115244.756
2024,517785.8568,48922,287217.6455,158888.586,128776.007
2025,610550.3823,53922,311484.5842,167562.586,147644.6566
2026,686876.9704,59422,339296.9698,182158.586,170408.2824
2027,773082.9862,65422,367943.5435,198581.6323,195078.786
2028,863529.7149,72441,395316.9398,213864.894,223838.241
2029,947291.0004,79465,429280.4801,228856.7359,254091.739
2030,1032911.826,87496,467593.715,244495.3819,284788.9207
2031,1101103.906,96534,504095.2066,260117.3819,318162.3604
2032,1175789.167,105581,540812.3446,277427.3819,352674.4539
2033,1256293.74,116137,573741.1388,295930.8819,389756.4387
