Year,China,India,Europe,USA,Rest of World
2022,363011.29,41916.00,255917.85,147531.84,102013.82
2023,438363.84,44722.00,272534.87,153622.59,115244.76
2024,517785.86,48922.00,287217.65,158888.59,128776.01
2025,610550.38,53922.00,311484.58,167562.59,147644.66
2026,686876.97,59422.00,339296.97,182158.59,170408.28
2027,773082.99,65422.00,367943.54,198581.63,195078.79
2028,863529.71,72441.00,395316.94,213864.89,223838.24
2029,947291.00,79465.00,429280.48,228856.74,254091.74
2030,1032911.83,87496.00,467593.72,244495.38,284788.92
2031,1101103.91,96534.00,504095.21,260117.38,318162.36
2032,1175789.17,105581.00,540812.34,277427.38,352674.45
2033,1256293.74,116137.00,573741.14,295930.88,389756.44
