Inputs,Technical Life = 5yr,Technical Life = 7yr,Technical Life = 10yr,Technical Life = 15yr,Technical Life = 20yr
Facility Technical Life (Yr),5,7,10,15,20
Loan Tenor (Yr),5,7,10,15,20
IRR (%),8%,8%,8%,8%,8%
Operating Margin (%),38.55%,31.55%,26.35%,22.34%,20.37%
LPF Cell Price ($/kWh),123.306538,117.0835974,112.4526603,108.8832076,107.1319682
Operating Margin ($/kWh),34.30653802,28.0835974,23.45266032,19.88320757,18.13196817
Materials ($/kWh),45,45,45,45,45
Labor ($/kWh),15,15,15,15,15
Overhead ($/kWh),22.5,22.5,22.5,22.5,22.5
OpEx ($/kWh),6.5,6.5,6.5,6.5,6.5
Operating Margin check,0,0,0,0,0
